PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 560                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P016"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:08.38                                     
START_TIME                    = 2001-11-04T14:04:41.00Z                                    
STOP_TIME                     = 2001-11-04T14:13:22.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 522                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 016 of aerobraking at Mars.  The data comes from                       
  p016_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-308T14:07:06.000  0.003556  0.000293  0.002986 -0.080227 -0.031747  0.564423 -0.820964
2001-308T14:07:07.000  0.003684  0.000297  0.003243 -0.081840 -0.030723  0.563190 -0.821690
2001-308T14:07:08.000  0.003801  0.000313  0.003480 -0.083515 -0.029655  0.561841 -0.822484
2001-308T14:07:09.000  0.003921  0.000325  0.003791 -0.085262 -0.028539  0.560356 -0.823356
2001-308T14:07:10.000  0.004037  0.000346  0.004101 -0.087049 -0.027397  0.558765 -0.824289
2001-308T14:07:11.000  0.004170  0.000391  0.004397 -0.088895 -0.026217  0.557054 -0.825288
2001-308T14:07:12.000  0.004289  0.000396  0.004679 -0.090810 -0.024995  0.555211 -0.826359
2001-308T14:07:13.000  0.004396  0.000429  0.004941 -0.092779 -0.023739  0.553253 -0.827489
2001-308T14:07:14.000  0.004513  0.000419  0.005255 -0.094798 -0.022450  0.551171 -0.828685
2001-308T14:07:15.000  0.004668  0.000065  0.005721 -0.096785 -0.020960  0.548941 -0.829973
2001-308T14:07:16.000  0.004809  0.000009  0.006106 -0.098829 -0.019365  0.546530 -0.831361
2001-308T14:07:17.000  0.004929  0.000064  0.006449 -0.100929 -0.017734  0.543964 -0.832826
2001-308T14:07:18.000  0.005077  0.000090  0.006793 -0.103089 -0.016068  0.541237 -0.834371
2001-308T14:07:19.000  0.005247  0.000128  0.007123 -0.105333 -0.014352  0.538335 -0.835998
2001-308T14:07:20.000  0.005302  0.000167  0.007455 -0.107613 -0.012620  0.535320 -0.837670
2001-308T14:07:21.000  0.005412  0.000213  0.007683 -0.109963 -0.010858  0.532171 -0.839393
2001-308T14:07:22.000  0.005513  0.000261  0.007871 -0.112375 -0.009069  0.528919 -0.841149
2001-308T14:07:23.000  0.005601  0.000299  0.008010 -0.114810 -0.007285  0.525612 -0.842908
2001-308T14:07:24.000  0.005637  0.000344  0.008136 -0.117298 -0.005485  0.522206 -0.844695
2001-308T14:07:25.000  0.005675  0.000406  0.008194 -0.119819 -0.003685  0.518733 -0.846488
2001-308T14:07:26.000  0.005718  0.000083  0.008197 -0.122293 -0.001806  0.515252 -0.848265
2001-308T14:07:27.000  0.005722  0.000043  0.008284 -0.124731  0.000162  0.511732 -0.850041
2001-308T14:07:28.000  0.005777  0.000086  0.008223 -0.127197  0.002140  0.508169 -0.851808
2001-308T14:07:29.000  0.005801  0.000132  0.008285 -0.129679  0.004100  0.504588 -0.853554
2001-308T14:07:30.000  0.005790  0.000198  0.008356 -0.132170  0.006032  0.500990 -0.855278
2001-308T14:07:31.000  0.005815  0.000241  0.008307 -0.134671  0.007933  0.497394 -0.856969
2001-308T14:07:32.000  0.005752  0.000316  0.008263 -0.137198  0.009815  0.493782 -0.858637
2001-308T14:07:33.000  0.005694  0.000390  0.008097 -0.139692  0.011625  0.490253 -0.860232
2001-308T14:07:34.000  0.005635  0.000071  0.007773 -0.142106  0.013515  0.486825 -0.861755
2001-308T14:07:35.000  0.005532  0.000032  0.007513 -0.144470  0.015411  0.483499 -0.863201
2001-308T14:07:36.000  0.005414  0.000122  0.007290 -0.146780  0.017220  0.480302 -0.864561
2001-308T14:07:37.000  0.005293  0.000182  0.006885 -0.149072  0.018965  0.477179 -0.865861
2001-308T14:07:38.000  0.005176  0.000258  0.006482 -0.151337  0.020623  0.474195 -0.867069
2001-308T14:07:39.000  0.005002  0.000334  0.006137 -0.153545  0.022178  0.471356 -0.868190
2001-308T14:07:40.000  0.004876  0.000069  0.005717 -0.155666  0.023735  0.468679 -0.869220
2001-308T14:07:41.000  0.004682  0.000038  0.005504 -0.157698  0.025288  0.466141 -0.870174
2001-308T14:07:42.000  0.004476  0.000132  0.004890 -0.159639  0.026727  0.463800 -0.871027
2001-308T14:07:43.000  0.004258  0.000177  0.004348 -0.161489  0.028035  0.461688 -0.871767
2001-308T14:07:44.000  0.003964  0.000262  0.003947 -0.163295  0.029250  0.459724 -0.872429
2001-308T14:07:45.000  0.003688  0.000287  0.003052 -0.164984  0.030294  0.458109 -0.872925
2001-308T14:07:46.000  0.003335  0.000005  0.002176 -0.166469  0.031300  0.456909 -0.873236
2001-308T14:07:47.000  0.002919  0.000018  0.001442 -0.167788  0.032145  0.456118 -0.873367
2001-308T14:07:48.000  0.002670  0.000068  0.000705 -0.169002  0.032833  0.455670 -0.873341
2001-308T14:07:49.000  0.002332  0.000091  0.000132 -0.170093  0.033386  0.455478 -0.873208
2001-308T14:07:50.000  0.001971  0.000136 -0.000361 -0.171049  0.033802  0.455509 -0.872990
2001-308T14:07:51.000  0.001669  0.000158 -0.001086 -0.171878  0.034083  0.455797 -0.872666
