NAC image,http://lroc.sese.asu.edu/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0032/DATA/ESM3/2017246/NAC/M1259058367LE.IMG,,,,
,,,,,
Crater name,Zi Wei,,,,
Crater diameter,450 <m>,,,,
,,,,,
Crater center,LAT,LON,,,
,44.12,-19.53,,,
,,,,,
Total count area ,2.9 <km^2>,,,,
,,,,,
BOULDER_DIAM_km,BOULDER_DIAM_m,LON,LAT,DISTANCE_m,DISTANCE_CRATER_RADII
0.003400336,3.400336274,-19.49487501,44.14414687,1058.314909,3.703621818
0.004817612,4.81761212,-19.49769732,44.1425829,981.2100262,3.36093345
0.006856738,6.85673753,-19.49861842,44.14242017,963.4674957,3.282077759
0.002558589,2.558588504,-19.49764707,44.14360077,1003.746949,3.461097549
0.002537746,2.537745531,-19.49666273,44.14378463,1022.804235,3.545796601
0.002193611,2.193610985,-19.49611343,44.14399978,1035.885405,3.603935134
0.002528916,2.528916153,-19.49784801,44.14393563,1007.967348,3.479854882
0.002751701,2.751700942,-19.49707137,44.14356322,1011.767988,3.496746612
0.001634659,1.634659198,-19.49652195,44.14365006,1022.113673,3.542727435
0.003034182,3.034181896,-19.49975316,44.14328704,965.1778523,3.289679344
0.002679187,2.679187427,-19.49943653,44.14284265,960.1286541,3.267238463
0.002523159,2.523159165,-19.50061669,44.14226369,929.7058852,3.132026156
0.002071138,2.071137967,-19.55791046,44.14344586,934.9091494,3.155151775
0.002504088,2.504087771,-19.54977468,44.1357199,642.0958924,1.853759522
0.005305882,5.305881755,-19.55651427,44.1359374,752.5559213,2.344692984
0.001638873,1.638872518,-19.55821114,44.1357066,776.9183272,2.452970343
0.002328015,2.328015446,-19.59970015,44.13163356,1557.242269,5.921076752
0.003235522,3.23552234,-19.55844538,44.13346275,741.4481408,2.29532507
0.001886974,1.886974235,-19.55633378,44.13230327,683.7529428,2.038901968
0.002302028,2.302027529,-19.5395383,44.13178455,413.1855937,0.836380417
0.002949371,2.949371407,-19.53968929,44.13211706,423.5579336,0.882479705
0.002452692,2.452692296,-19.53468641,44.131747,370.4410265,0.646404562
0.001797474,1.79747421,-19.53459908,44.1316672,367.5938463,0.633750428
0.002628317,2.62831731,-19.53503193,44.13173214,372.1504448,0.654001977
0.002261551,2.26155144,-19.52749903,44.13130652,347.066577,0.54251812
0.001381203,1.381203052,-19.51459748,44.13407066,542.4988495,1.411105998
0.002502317,2.502317235,-19.5152753,44.13132999,469.7426574,1.087745144
0.002540192,2.540192371,-19.51513559,44.13204509,487.8291251,1.168129445
0.002472769,2.472768809,-19.45364049,44.13451192,1718.909984,6.639599928
0.002232879,2.232879331,-19.45347698,44.13450722,1722.313699,6.654727553
0.002133495,2.133494855,-19.51444157,44.13059143,466.6216943,1.073874197
0.001950323,1.950323232,-19.52014442,44.12964241,362.5636775,0.611394122
0.002276325,2.2763253,-19.51717701,44.12850562,379.9513122,0.688672498
0.004201088,4.201088213,-19.51892649,44.12935684,372.2065472,0.654251321
0.002134273,2.134273354,-19.52704876,44.13050928,325.0119505,0.444497558
0.002370852,2.37085174,-19.5247055,44.12768099,259.8064187,0.154695194
0.004173142,4.17314217,-19.52768417,44.12825604,255.3165934,0.134740415
0.002524413,2.524413169,-19.52767091,44.12960407,295.5393666,0.313508296
0.00243953,2.439529994,-19.53804122,44.12824196,305.0508226,0.355781434
0.001913528,1.913527852,-19.53746148,44.12898287,317.0624986,0.409166661
0.002630042,2.630042109,-19.53691104,44.128986,311.1810654,0.383026957
