PDS_VERSION_ID                = PDS3                                          
                                                                              
RECORD_TYPE                   = FIXED_LENGTH                                  
RECORD_BYTES                  = 80                                            
FILE_RECORDS                  = 809                                           
LABEL_RECORDS                 = 42                                            
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,3(1X,F11.8))"  
^TABLE                        = 44                                            
PRODUCT_ID                    = "ACCELEROMETER_DATA_P164"                     
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                           
INSTRUMENT_NAME               = "ACCELEROMETER"                               
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                
TARGET_NAME                   = MARS                                          
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:47.31                        
START_TIME                    = 2001-12-24T22:54:16.00Z                       
STOP_TIME                     = 2001-12-24T23:07:01.00Z                       
                                                                              
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                      
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                      
                                                                              
OBJECT                        = TABLE                                         
 ROWS                         = 766                                           
 ROW_BYTES                    = 80                                            
 INTERCHANGE_FORMAT           = ASCII                                         
 COLUMNS                      = 4                                             
 ^STRUCTURE                   = "ACCEL.FMT"                                   
 DESCRIPTION                  = "                                             
  The data in this file are the 1 second accelerometer data from Mars Odyssey 
  for orbit 164 of aerobraking at Mars.  The data comes from telemetry file   
  p164_accel_raw1_1hz.drf which is converted from a higher sample rate        
  to 1 second acceleration by the GDS. The sample rate changed twice during   
  the mission (TOLSONETAL2005) which changed the noise level on the 1 sec data
  The data is also adjusted for angular motion due to the offset              
  of the IMU from the center of mass and interpolated to the same time stamps 
  as the rate and quaternion data.                                            
                                                                              
  Robert H. Tolson                                                            
  03-Nov-2007                                                                 
  "                                                                           
                                                                              
END_OBJECT                    = TABLE                                         
END                                                                           
                                                                              
2001-358T22:56:48.000  0.00042078  0.00019494  0.00031133                     
2001-358T22:56:49.000  0.00058349 -0.00018217 -0.00028262                     
2001-358T22:56:50.000  0.00009691 -0.00032000 -0.00069406                     
2001-358T22:56:51.000  0.00042797  0.00074014 -0.00000476                     
2001-358T22:56:52.000 -0.00060923  0.00065461  0.00046122                     
2001-358T22:56:53.000 -0.00039719  0.00069045  0.00091578                     
2001-358T22:56:54.000 -0.00004000  0.00057810  0.00023869                     
2001-358T22:56:55.000 -0.00005037  0.00008787 -0.00042034                     
2001-358T22:56:56.000  0.00086962  0.00023871 -0.00099750                     
2001-358T22:56:57.000  0.00011316 -0.00019618 -0.00065212                     
2001-358T22:56:58.000  0.00040431  0.00006329 -0.00007370                     
2001-358T22:56:59.000  0.00045978 -0.00004340 -0.00024605                     
2001-358T22:56:60.000 -0.00008816 -0.00003806 -0.00033779                     
2001-358T22:57:01.000  0.00018368  0.00093375 -0.00019379                     
2001-358T22:57:02.000 -0.00024485  0.00101788  0.00007973                     
2001-358T22:57:03.000 -0.00022330  0.00057093  0.00115017                     
2001-358T22:57:04.000  0.00000836  0.00050874  0.00068330                     
2001-358T22:57:05.000 -0.00054672  0.00040986 -0.00020567                     
2001-358T22:57:06.000 -0.00007866  0.00066682 -0.00034944                     
2001-358T22:57:07.000  0.00001691  0.00046517 -0.00026267                     
2001-358T22:57:08.000 -0.00046184  0.00020227 -0.00000002                     
2001-358T22:57:09.000  0.00019994  0.00075741 -0.00015327                     
2001-358T22:57:10.000  0.00005325  0.00033963 -0.00024285                     
2001-358T22:57:11.000 -0.00012425  0.00001575  0.00000458                     
2001-358T22:57:12.000  0.00064070  0.00036901  0.00025459                     
2001-358T22:57:13.000  0.00001755  0.00035531  0.00054628                     
2001-358T22:57:14.000 -0.00041549  0.00006016  0.00037135                     
2001-358T22:57:15.000  0.00050659  0.00038903 -0.00075723                     
2001-358T22:57:16.000  0.00078120  0.00086738 -0.00076576                     
2001-358T22:57:17.000  0.00022216  0.00014501  0.00023104                     
