PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 732                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P118"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:35.17                                     
START_TIME                    = 2001-12-16T22:10:30.00Z                                    
STOP_TIME                     = 2001-12-16T22:22:03.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 694                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 118 of aerobraking at Mars.  The data comes from                       
  p118_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-350T22:12:23.000  0.001195 -0.000154  0.000036 -0.097279  0.078806 -0.483175  0.866526
2001-350T22:12:24.000  0.001209 -0.000191  0.000052 -0.096799  0.078439 -0.483195  0.866602
2001-350T22:12:25.000  0.001227 -0.000190  0.000038 -0.096315  0.078069 -0.483214  0.866679
2001-350T22:12:26.000  0.001222 -0.000189  0.000047 -0.095831  0.077699 -0.483236  0.866754
2001-350T22:12:27.000  0.001215 -0.000190  0.000057 -0.095339  0.077323 -0.483257  0.866830
2001-350T22:12:28.000  0.001246 -0.000184  0.000026 -0.094852  0.076949 -0.483280  0.866904
2001-350T22:12:29.000  0.001231 -0.000189  0.000022 -0.094353  0.076568 -0.483305  0.866978
2001-350T22:12:30.000  0.001256 -0.000180  0.000051 -0.093855  0.076187 -0.483329  0.867052
2001-350T22:12:31.000  0.001276 -0.000194  0.000027 -0.093354  0.075804 -0.483355  0.867125
2001-350T22:12:32.000  0.001277 -0.000181  0.000020 -0.092854  0.075420 -0.483383  0.867197
2001-350T22:12:33.000  0.001293 -0.000195  0.000027 -0.092347  0.075031 -0.483412  0.867269
2001-350T22:12:34.000  0.001257 -0.000174  0.000004 -0.091843  0.074645 -0.483442  0.867339
2001-350T22:12:35.000  0.001289 -0.000187  0.000017 -0.091331  0.074251 -0.483474  0.867409
2001-350T22:12:36.000  0.001302 -0.000190 -0.000002 -0.090821  0.073858 -0.483510  0.867476
2001-350T22:12:37.000  0.001307 -0.000207  0.000016 -0.090300  0.073456 -0.483547  0.867544
2001-350T22:12:38.000  0.001299 -0.000199 -0.000009 -0.089781  0.073056 -0.483588  0.867609
2001-350T22:12:39.000  0.001326 -0.000199  0.000008 -0.089254  0.072651 -0.483631  0.867673
2001-350T22:12:40.000  0.001324 -0.000202 -0.000020 -0.088725  0.072241 -0.483677  0.867736
2001-350T22:12:41.000  0.001344 -0.000192 -0.000011 -0.088186  0.071826 -0.483726  0.867798
2001-350T22:12:42.000  0.001363 -0.000198 -0.000041 -0.087647  0.071409 -0.483780  0.867857
2001-350T22:12:43.000  0.001384 -0.000210 -0.000041 -0.087096  0.070983 -0.483836  0.867916
2001-350T22:12:44.000  0.001402 -0.000199 -0.000037 -0.086548  0.070560 -0.483895  0.867972
2001-350T22:12:45.000  0.001423 -0.000201 -0.000051 -0.085982  0.070123 -0.483960  0.868028
2001-350T22:12:46.000  0.001404 -0.000198 -0.000065 -0.085419  0.069687 -0.484028  0.868081
2001-350T22:12:47.000  0.001432 -0.000188 -0.000061 -0.084845  0.069243 -0.484100  0.868133
2001-350T22:12:48.000  0.001458 -0.000215 -0.000079 -0.084270  0.068797 -0.484175  0.868182
2001-350T22:12:49.000  0.001469 -0.000224 -0.000093 -0.083685  0.068343 -0.484255  0.868230
2001-350T22:12:50.000  0.001485 -0.000196 -0.000096 -0.083099  0.067889 -0.484338  0.868276
2001-350T22:12:51.000  0.001516 -0.000226 -0.000113 -0.082506  0.067429 -0.484426  0.868319
2001-350T22:12:52.000  0.001512 -0.000222 -0.000130 -0.081908  0.066964 -0.484519  0.868359
2001-350T22:12:53.000  0.001526 -0.000230 -0.000150 -0.081303  0.066493 -0.484616  0.868398
2001-350T22:12:54.000  0.001526 -0.000231 -0.000141 -0.080699  0.066022 -0.484717  0.868434
2001-350T22:12:55.000  0.001558 -0.000229 -0.000134 -0.080087  0.065543 -0.484823  0.868468
2001-350T22:12:56.000  0.001571 -0.000242 -0.000155 -0.079473  0.065060 -0.484934  0.868499
2001-350T22:12:57.000  0.001605 -0.000234 -0.000182 -0.078846  0.064567 -0.485052  0.868527
2001-350T22:12:58.000  0.001616 -0.000238 -0.000202 -0.078217  0.064073 -0.485175  0.868552
2001-350T22:12:59.000  0.001602 -0.000245 -0.000201 -0.077577  0.063569 -0.485304  0.868574
2001-350T22:12:60.000  0.001628 -0.000234 -0.000229 -0.076937  0.063066 -0.485440  0.868592
2001-350T22:13:01.000  0.001677 -0.000252 -0.000237 -0.076277  0.062543 -0.485585  0.868606
2001-350T22:13:02.000  0.001673 -0.000250 -0.000269 -0.075619  0.062022 -0.485736  0.868617
2001-350T22:13:03.000  0.001710 -0.000240 -0.000276 -0.074946  0.061491 -0.485894  0.868625
